"","Model"
"852","Boeing 767-3Q8ER"
"853","Boeing 767-3W0ER"
"854","Boeing 767-3Y0ER"
"855","Boeing 767-3Z9ER"
"856","Boeing 777-222ER"
"857","Boeing 777-236"
"858","Boeing 777-236ER"
"859","Boeing 777-246ER"
"860","Boeing 777-266ER"
"861","Boeing 777-268"
"862","Boeing 777-281"
"863","Boeing 777-28EER"
"864","Boeing 777-2B5ER"
"865","Boeing 777-2H6ER"
"866","Boeing 777-312ER"
"867","Boeing 777-328ER"
"868","Boeing 777-333ER"
"869","Boeing 777-340ER"
"870","Boeing 777-35EER"
"871","Boeing 777-367ER"
"872","Boeing 777-36NER"
"873","Boeing 777-3B5"
"874","Boeing 777-3DZER"
"875","Boeing 777-3F2ER"
"876","Boeing 777-F6N"
"877","Boeing 787-8 Dreamliner"
"878","Boeing 80"
"879","Boeing C-135A Stratolifter"
"880","Boeing C-135B Stratolifter"
"881","Boeing C-97A Stratofreighter"
"882","Boeing C-97G Stratofreighter"
"883","Boeing E-3A Sentry (707-300B)"
"884","Boeing E-3C Sentry (707-300)"
"885","Boeing E-8C (707)"
"886","Boeing EC-135C"
"887","Boeing EC-135J"
"888","Boeing EC-135K"
"889","Boeing EC-135N"
"890","Boeing KC-135A Stratotanker"
"891","Boeing KC-135E Stratotanker"
"892","Boeing KC-135Q Stratotanker"
"893","Boeing KC-135R Stratotanker"
"894","Boeing KC-137E (707-324C)"
"895","Boeing KC-97F Stratofreighter"
"896","Boeing KC-97G Stratofreighter"
"897","Boeing KC-97L Stratotanker"
"898","Boeing NKC-135A"
"899","Boeing RC-135E Rivet Amber"
"900","Boeing RC-135S Rivet Ball"
"901","Boeing RC-135T Rivet Dandy"
"902","Boeing RC-135V Rivet Joint"
"903","Boeing S.307 Stratoliner"
"904","Boeing S.307B Stratoliner"
"905","Boeing S.307B-1 Stratoliner"
"906","Bombardier  Challenger 300"
"907","Bombardier  Global 5000"
"908","Bombardier  Global 6000"
"909","Bombardier  Global Express"
"910","Bombardier Challenger 605"
"911","Bombardier CRJ-701ER"
"912","Bombardier CRJ-900ER"
"913","Bombardier DHC-8-402Q Dash 8"
"914","Breguet 1150 Atlantic"
"915","Breguet 730"
"916","Breguet 761S"
"917","Breguet SP-13A Atlantic"
"918","Bristol 170 Freighter 21"
"919","Bristol 170 Freighter 21E"
"920","Bristol 170 Freighter 31"
"921","Bristol 170 Freighter 31E"
